Symbol,Series,Exdate,CorporateActions,PreOpenPrice,NetChg,PctChg,PrevClose,TradedQty,TradedValue(in lakhs),FFMarketCapital,YearlyHigh,YearlyLow,SummaryValue,SummaryQty,FinalQty,SummaryFinalQty
BIOFILCHEM,BE,-,-,34.10,-1.75,-4.88,35.85,5468,1.86,22.17,43.50,4.05,27279.67,29270452,0,29270452
PVR,EQ,09-Jul-2020, RIGHTS 7:94 @ PREMIUM RS 774/-,1375.00,-70.55,-4.88,1445.55,16492,226.76,5343.61,2103.96,711.19,27279.67,29270452,0,29270452
TAINWALCHM,EQ,-,-,49.35,-2.50,-4.82,51.85,30,0.01,16.02,83.50,31.10,27279.67,29270452,0,29270452
DIGISPICE,EQ,-,-,8.95,-0.45,-4.79,9.40,50,0.00,55.70,10.15,2.80,27279.67,29270452,0,29270452
A2ZINFRA,EQ,-,-,5.00,-0.25,-4.76,5.25,7755,0.39,65.65,11.25,2.90,27279.67,29270452,0,29270452
EKC,BE,-,-,29.05,-1.45,-4.75,30.50,750,0.22,112.94,35.05,9.85,27279.67,29270452,0,29270452
XELPMOC,BE,-,-,153.00,-7.55,-4.70,160.55,187,0.29,92.42,177.35,38.00,27279.67,29270452,0,29270452
GVKPIL,EQ,-,-,3.05,-0.15,-4.69,3.20,357728,10.91,232.46,5.55,2.00,27279.67,29270452,0,29270452
INOXLEISUR,EQ,-,-,289.95,-14.20,-4.67,304.15,35514,102.97,1376.50,511.80,158.40,27279.67,29270452,0,29270452
XPROINDIA,EQ,-,-,22.50,-1.10,-4.66,23.60,360,0.08,13.94,34.00,12.45,27279.67,29270452,0,29270452
NMDC,EQ,-,-,102.50,-5.00,-4.65,107.50,141727,145.27,9874.47,139.70,61.55,27279.67,29270452,0,29270452
VIKASECO,BE,-,-,9.30,-0.45,-4.62,9.75,11813,1.10,182.84,11.40,0.95,27279.67,29270452,0,29270452
RTNINFRA,EQ,-,-,9.35,-0.45,-4.59,9.80,2759,0.26,338.66,11.35,1.25,27279.67,29270452,0,29270452
THIRUSUGAR,BZ,-,-,4.20,-0.20,-4.55,4.40,100,0.00,1.89,5.05,2.55,27279.67,29270452,0,29270452
MUKTAARTS,EQ,-,-,28.55,-1.35,-4.52,29.90,500,0.14,20.26,46.10,14.50,27279.67,29270452,0,29270452
AKSHOPTFBR,EQ,-,-,7.55,-0.35,-4.43,7.90,50871,3.84,92.54,9.70,2.70,27279.67,29270452,0,29270452
ARIHANTSUP,EQ,-,-,24.90,-1.15,-4.41,26.05,500,0.12,27.88,46.00,15.75,27279.67,29270452,0,29270452
WEBELSOLAR,EQ,-,-,19.50,-0.90,-4.41,20.40,5608,1.09,46.81,33.00,11.50,27279.67,29270452,0,29270452
RTNPOWER,EQ,-,-,3.30,-0.15,-4.35,3.45,73867,2.44,477.18,4.45,0.95,27279.67,29270452,0,29270452
STEELXIND,EQ,-,-,38.55,-1.75,-4.34,40.30,300,0.12,159.23,40.35,9.10,27279.67,29270452,0,29270452
NDRAUTO,EQ,-,-,197.60,-8.95,-4.33,206.55,157,0.31,33.16,284.95,108.70,27279.67,29270452,0,29270452
THOMASCOOK,EQ,-,-,35.15,-1.50,-4.09,36.65,12201,4.29,443.64,170.00,21.95,27279.67,29270452,0,29270452
GANESHHOUC,EQ,-,-,30.60,-1.30,-4.08,31.90,1,0.00,72.24,49.85,17.35,27279.67,29270452,0,29270452
ANIKINDS,EQ,-,-,14.40,-0.60,-4.00,15.00,2300,0.33,20.82,17.50,5.15,27279.67,29270452,0,29270452
VASWANI,EQ,-,-,6.05,-0.25,-3.97,6.30,5,0.00,7.94,8.10,2.30,27279.67,29270452,0,29270452
TALWALKARS,BZ,-,-,3.65,-0.15,-3.95,3.80,2339,0.09,7.30,7.75,1.00,27279.67,29270452,0,29270452
3IINFOTECH,EQ,-,-,3.70,-0.15,-3.90,3.85,144528,5.35,516.60,4.10,1.15,27279.67,29270452,0,29270452
HTMEDIA,BE,-,-,16.05,-0.65,-3.89,16.70,10,0.00,116.61,26.70,7.60,27279.67,29270452,0,29270452
NITCO,EQ,-,-,19.55,-0.75,-3.69,20.30,2000,0.39,68.56,34.20,10.75,27279.67,29270452,0,29270452
MBLINFRA,EQ,-,-,9.15,-0.35,-3.68,9.50,1255,0.11,31.85,10.40,2.40,27279.67,29270452,0,29270452
KMSUGAR,EQ,-,-,12.70,-0.45,-3.42,13.15,900,0.11,42.34,14.50,4.80,27279.67,29270452,0,29270452
TRITURBINE,EQ,-,-,78.50,-2.75,-3.38,81.25,3695,2.90,840.59,112.00,45.50,27279.67,29270452,0,29270452
ARMANFIN,EQ,-,-,570.00,-19.80,-3.36,589.80,412,2.35,249.22,1121.10,280.00,27279.67,29270452,0,29270452
NAHARPOLY,EQ,-,-,63.20,-2.15,-3.29,65.35,100,0.06,48.20,79.00,23.05,27279.67,29270452,0,29270452
EXPLEOSOL,EQ,19-Aug-2020, ANNUAL GENERAL MEETING,490.00,-16.45,-3.25,506.45,154,0.75,228.46,534.80,112.60,27279.67,29270452,0,29270452
ORTINLABSS,EQ,-,-,21.20,-0.70,-3.20,21.90,68,0.01,24.11,24.45,6.80,27279.67,29270452,0,29270452
HAL,EQ,-,-,978.40,-32.20,-3.19,1010.60,97105,950.08,3379.32,1423.00,470.00,27279.67,29270452,0,29270452
BALLARPUR,BE,-,-,1.60,-0.05,-3.03,1.65,12940,0.21,162.20,2.90,0.30,27279.67,29270452,0,29270452
RAJRATAN,EQ,-,-,305.00,-9.45,-3.01,314.45,5,0.02,114.95,334.25,166.00,27279.67,29270452,0,29270452
DPSCLTD,EQ,-,-,11.80,-0.35,-2.88,12.15,10,0.00,82.82,14.50,4.40,27279.67,29270452,0,29270452
PARACABLES,EQ,-,-,8.45,-0.25,-2.87,8.70,4515,0.38,64.08,10.25,4.95,27279.67,29270452,0,29270452
HINDNATGLS,EQ,06-Jul-2020, ANNUAL GENERAL MEETING,27.50,-0.80,-2.83,28.30,5,0.00,32.95,48.30,21.00,27279.67,29270452,0,29270452
OPTOCIRCUI,EQ,-,-,7.00,-0.20,-2.78,7.20,7200,0.50,175.32,19.60,1.45,27279.67,29270452,0,29270452
NILAINFRA,EQ,-,-,5.45,-0.15,-2.68,5.60,18733,1.02,83.82,6.40,2.15,27279.67,29270452,0,29270452
RANASUG,BE,-,-,7.35,-0.20,-2.65,7.55,437,0.03,89.28,8.50,1.95,27279.67,29270452,0,29270452
SITINET,EQ,-,-,1.85,-0.05,-2.63,1.90,100025,1.85,56.33,2.45,0.50,27279.67,29270452,0,29270452
UFO,EQ,12-Aug-2020, ANNUAL GENERAL MEETING,84.90,-2.15,-2.47,87.05,2286,1.94,125.86,163.40,58.10,27279.67,29270452,0,29270452
IVC,BE,-,-,3.95,-0.10,-2.47,4.05,100,0.00,63.59,4.60,1.60,27279.67,29270452,0,29270452
IL&FSENGG,BZ,-,-,4.00,-0.10,-2.44,4.10,10,0.00,31.18,5.35,1.55,27279.67,29270452,0,29270452
RANEENGINE,EQ,29-Jul-2020, ANNUAL GENERAL MEETING,220.50,-5.40,-2.39,225.90,2,0.00,68.30,362.30,116.45,27279.67,29270452,0,29270452
CLEDUCATE,EQ,-,-,45.50,-1.10,-2.36,46.60,76,0.03,33.67,91.10,28.20,27279.67,29270452,0,29270452
KHADIM,EQ,-,-,124.00,-2.85,-2.25,126.85,360,0.45,88.90,281.40,65.20,27279.67,29270452,0,29270452
MIRCELECTR,EQ,-,-,9.00,-0.20,-2.17,9.20,3901,0.35,99.86,13.60,3.65,27279.67,29270452,0,29270452
WENDT,EQ,15-Jul-2020, ANNUAL GENERAL MEETING/DIVIDEND - RS 25 PER  SHARE,3750.15,-81.15,-2.12,3831.30,17,0.64,153.25,4275.70,1611.00,27279.67,29270452,0,29270452
GALLANTT,EQ,-,-,32.25,-0.70,-2.12,32.95,20,0.01,48.23,40.80,17.20,27279.67,29270452,0,29270452
MAXVIL,EQ,-,-,41.50,-0.90,-2.12,42.40,400,0.17,174.07,60.30,24.70,27279.67,29270452,0,29270452
MOTOGENFIN,EQ,-,-,18.55,-0.40,-2.11,18.95,222,0.04,24.22,26.83,10.48,27279.67,29270452,0,29270452
SUNDARMHLD,EQ,30-Jun-2020, ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,59.10,-1.25,-2.07,60.35,280,0.17,419.48,82.30,35.05,27279.67,29270452,0,29270452
VOLTAMP,EQ,05-Aug-2020, ANNUAL GENERAL MEETING,1175.90,-24.25,-2.02,1200.15,125,1.47,607.10,1483.00,739.40,27279.67,29270452,0,29270452
TRIVENI,EQ,27-Aug-2020, BUYBACK,72.95,-1.50,-2.01,74.45,4983,3.64,590.70,88.45,28.65,27279.67,29270452,0,29270452
QUESS,EQ,-,-,380.20,-7.70,-1.99,387.90,1660,6.31,2576.14,638.20,165.00,27279.67,29270452,0,29270452
VIMTALABS,BE,-,-,109.20,-2.20,-1.97,111.40,75,0.08,81.27,139.90,51.50,27279.67,29270452,0,29270452
JYOTHYLAB,EQ,29-Jul-2020, ANNUAL GENERAL MEETING,144.25,-2.85,-1.94,147.10,2166,3.12,1998.61,185.00,85.00,27279.67,29270452,0,29270452
GENUSPAPER,EQ,-,-,5.05,-0.10,-1.94,5.15,300,0.02,66.21,7.25,2.70,27279.67,29270452,0,29270452
DALBHARAT,EQ,-,-,735.00,-14.55,-1.94,749.55,124,0.91,6521.41,938.45,402.70,27279.67,29270452,0,29270452
LAKSHVILAS,EQ,-,-,20.60,-0.40,-1.90,21.00,5961,1.23,622.51,41.90,10.40,27279.67,29270452,0,29270452
SEPOWER,EQ,-,-,2.70,-0.05,-1.82,2.75,1,0.00,8.26,4.20,1.20,27279.67,29270452,0,29270452
SELAN,EQ,-,-,119.25,-2.15,-1.77,121.40,200,0.24,129.17,181.70,62.00,27279.67,29270452,0,29270452
ORIENTHOT,EQ,20-Jul-2020, ANNUAL GENERAL MEETING/DIVIDEND - RS 0.20 PER SHARE,22.35,-0.40,-1.76,22.75,500,0.11,154.40,45.40,13.75,27279.67,29270452,0,29270452
LIBERTSHOE,EQ,-,-,158.10,-2.80,-1.74,160.90,2317,3.66,112.41,181.80,63.55,27279.67,29270452,0,29270452
CINELINE,EQ,-,-,31.20,-0.55,-1.73,31.75,3651,1.14,26.67,46.00,16.35,27279.67,29270452,0,29270452
OSWALAGRO,EQ,-,-,8.60,-0.15,-1.71,8.75,1000,0.09,68.12,16.15,3.55,27279.67,29270452,0,29270452
CORDSCABLE,EQ,-,-,43.50,-0.75,-1.69,44.25,300,0.13,27.46,57.85,22.40,27279.67,29270452,0,29270452
TRF,BE,13-Aug-2020, ANNUAL GENERAL MEETING,88.50,-1.45,-1.61,89.95,11,0.01,65.33,142.95,45.15,27279.67,29270452,0,29270452
FILATEX,EQ,-,-,28.00,-0.45,-1.58,28.45,190,0.05,207.31,43.80,15.05,27279.67,29270452,0,29270452
GALLISPAT,EQ,-,-,28.35,-0.45,-1.56,28.80,100,0.03,154.51,35.80,16.05,27279.67,29270452,0,29270452
PATINTLOG,EQ,-,-,28.50,-0.45,-1.55,28.95,2257,0.64,27.77,36.10,8.80,27279.67,29270452,0,29270452
SHRIRAMCIT,EQ,23-Jul-2020, ANNUAL GENERAL MEETING,930.00,-14.00,-1.48,944.00,155,1.44,2243.04,1569.95,625.00,27279.67,29270452,0,29270452
OCCL,EQ,11-Aug-2020, DIVIDEND - RS 6 PER SHARE,842.05,-12.45,-1.46,854.50,12,0.10,409.75,1107.75,475.35,27279.67,29270452,0,29270452
GOKUL,EQ,13-Aug-2020, BUYBACK,17.50,-0.25,-1.41,17.75,314,0.05,63.21,19.60,7.50,27279.67,29270452,0,29270452
SUBROS,EQ,-,-,247.80,-3.55,-1.41,251.35,554,1.37,491.91,299.40,117.75,27279.67,29270452,0,29270452
AAVAS,EQ,-,-,1500.00,-21.25,-1.40,1521.25,435,6.52,4170.28,2101.00,849.05,27279.67,29270452,0,29270452
INDIANHUME,EQ,21-Aug-2020, ANNUAL GENERAL MEETING/DIVIDEND - RS 2 PER SHARE,199.80,-2.80,-1.38,202.60,538,1.07,294.46,301.00,112.30,27279.67,29270452,0,29270452
SMARTLINK,EQ,-,-,75.20,-1.05,-1.38,76.25,515,0.39,25.35,100.90,50.00,27279.67,29270452,0,29270452
ENIL,EQ,-,-,170.00,-2.35,-1.36,172.35,10,0.02,238.26,374.00,98.00,27279.67,29270452,0,29270452
WELENT,EQ,11-Jun-2020, DIVIDEND - RS 2 PER SHARE,70.90,-0.95,-1.32,71.85,360,0.26,523.46,104.50,33.15,27279.67,29270452,0,29270452
HIRECT,EQ,-,-,134.55,-1.80,-1.32,136.35,190,0.26,97.11,269.00,89.00,27279.67,29270452,0,29270452
AHLUCONT,EQ,-,-,276.50,-3.60,-1.29,280.10,2439,6.74,788.06,370.00,136.00,27279.67,29270452,0,29270452
SURYAROSNI,EQ,-,-,177.10,-2.25,-1.25,179.35,52,0.09,361.06,202.40,61.95,27279.67,29270452,0,29270452
UNICHEMLAB,EQ,20-Aug-2020, ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE,253.00,-3.20,-1.25,256.20,110,0.28,883.86,304.70,80.00,27279.67,29270452,0,29270452
SKIPPER,EQ,-,-,47.80,-0.60,-1.24,48.40,11,0.01,139.14,62.25,17.10,27279.67,29270452,0,29270452
CENTEXT,EQ,-,-,4.05,-0.05,-1.22,4.10,502,0.02,15.74,6.55,1.45,27279.67,29270452,0,29270452
DTIL,EQ,-,-,252.00,-3.10,-1.22,255.10,6,0.02,58.97,275.00,90.00,27279.67,29270452,0,29270452
PRESSMN,EQ,18-Aug-2020, ANNUAL GENERAL MEETING/DIVIDEND - RE 1  PER SHARE,20.20,-0.25,-1.22,20.45,75,0.02,25.45,31.80,11.35,27279.67,29270452,0,29270452
ALPHAGEO,EQ,-,-,182.10,-2.20,-1.19,184.30,270,0.49,63.34,277.90,104.95,27279.67,29270452,0,29270452
AIAENG,EQ,-,-,1805.10,-21.55,-1.18,1826.65,16,0.29,7236.19,1989.95,1102.20,27279.67,29270452,0,29270452
APCOTEXIND,EQ,23-Jul-2020, ANNUAL GENERAL MEETING,158.30,-1.85,-1.16,160.15,355,0.56,348.72,233.20,63.00,27279.67,29270452,0,29270452
MTEDUCARE,EQ,-,-,13.00,-0.15,-1.14,13.15,10,0.00,21.85,29.10,6.25,27279.67,29270452,0,29270452
ORIENTELEC,EQ,30-Jul-2020, ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,205.60,-2.35,-1.13,207.95,375,0.77,2382.69,286.90,145.05,27279.67,29270452,0,29270452
ATLANTA,EQ,-,-,8.80,-0.10,-1.12,8.90,40,0.00,27.56,11.60,2.65,27279.67,29270452,0,29270452
SIRCA,EQ,-,-,260.00,-2.85,-1.08,262.85,54,0.14,208.89,346.00,157.40,27279.67,29270452,0,29270452
CENTUM,EQ,-,-,355.00,-3.80,-1.06,358.80,99,0.35,189.55,495.00,175.40,27279.67,29270452,0,29270452
ESTER,EQ,20-Aug-2020, ANNUAL GENERAL MEETING/DIVIDEND - RS 2.50 PER SHARE,65.50,-0.70,-1.06,66.20,2071,1.36,138.02,80.25,22.35,27279.67,29270452,0,29270452
NAGAFERT,EQ,-,-,4.70,-0.05,-1.05,4.75,710,0.03,105.11,7.20,2.55,27279.67,29270452,0,29270452
APOLLO,EQ,-,-,128.00,-1.30,-1.01,129.30,1141,1.46,96.65,142.90,39.50,27279.67,29270452,0,29270452
ERIS,EQ,13-Aug-2020, INTERIM DIVIDEND - RS 5.50 PER SHARE,512.60,-5.20,-1.00,517.80,505,2.59,1617.07,595.00,321.00,27279.67,29270452,0,29270452
PRAENG,EQ,-,-,7.35,0.60,8.89,6.75,5070,0.37,31.63,8.90,3.70,27279.67,29270452,0,29270452
VIPULLTD,EQ,-,-,16.70,1.20,7.74,15.50,200,0.03,68.81,35.95,11.40,27279.67,29270452,0,29270452
NITINFIRE,BZ,-,-,0.70,0.05,7.69,0.65,50,0.00,6.08,1.20,0.25,27279.67,29270452,0,29270452
MIC,BE,-,-,0.70,0.05,7.69,0.65,2005,0.01,8.30,1.15,0.35,27279.67,29270452,0,29270452
INDUSINDBK,EQ,-,-,715.00,49.35,7.41,665.65,89077,636.90,40165.13,1596.55,235.55,27279.67,29270452,0,29270452
SPENTEX,BE,-,-,0.75,0.05,7.14,0.70,60,0.00,3.64,1.15,0.15,27279.67,29270452,0,29270452
HAVISHA,BE,-,-,0.75,0.05,7.14,0.70,1749,0.01,6.99,0.90,0.35,27279.67,29270452,0,29270452
UCOBANK,EQ,30-Jul-2020, ANNUAL GENERAL MEETING,14.90,0.95,6.81,13.95,189279,28.20,553.44,22.40,8.40,27279.67,29270452,0,29270452
NAGREEKEXP,EQ,-,-,15.90,1.00,6.71,14.90,30,0.00,8.75,23.20,8.10,27279.67,29270452,0,29270452
GOENKA,BZ,-,-,0.80,0.05,6.67,0.75,1601,0.01,9.99,1.75,0.15,27279.67,29270452,0,29270452
JVLAGRO,BZ,20-Aug-2020, ANNUAL GENERAL MEETING,0.80,0.05,6.67,0.75,1300,0.01,5.67,1.45,0.20,27279.67,29270452,0,29270452
SURANAT&P,EQ,-,-,4.15,0.25,6.41,3.90,100,0.00,13.24,5.35,1.95,27279.67,29270452,0,29270452
OMAXAUTO,EQ,-,-,51.40,3.05,6.31,48.35,2501,1.29,44.43,66.70,18.65,27279.67,29270452,0,29270452
HITECHGEAR,EQ,-,-,148.50,8.55,6.11,139.95,5,0.01,115.57,220.05,63.10,27279.67,29270452,0,29270452
PREMIERPOL,EQ,-,-,32.20,1.80,5.92,30.40,8330,2.68,33.12,32.00,15.40,27279.67,29270452,0,29270452
RUBYMILLS,EQ,-,-,208.75,10.80,5.46,197.95,15,0.03,82.74,261.30,103.50,27279.67,29270452,0,29270452
MARALOVER,EQ,-,-,14.50,0.75,5.45,13.75,4,0.00,14.27,28.45,8.25,27279.67,29270452,0,29270452
BILENERGY,EQ,-,-,1.00,0.05,5.26,0.95,25700,0.26,11.65,1.60,0.40,27279.67,29270452,0,29270452
ICRA,EQ,-,-,2950.00,144.15,5.14,2805.85,51,1.50,1299.84,3224.00,1950.00,27279.67,29270452,0,29270452
CENTRALBK,EQ,31-Jul-2020, ANNUAL GENERAL MEETING,18.75,0.90,5.04,17.85,80589,15.11,611.52,25.50,10.10,27279.67,29270452,0,29270452
SASTASUNDR,EQ,-,-,104.90,5.00,5.01,99.90,465,0.49,82.62,110.00,38.70,27279.67,29270452,0,29270452
BRFL,EQ,-,-,14.70,0.70,5.00,14.00,140,0.02,155.56,14.00,2.75,27279.67,29270452,0,29270452
ISMTLTD,EQ,-,-,7.35,0.35,5.00,7.00,3100,0.23,49.22,7.05,1.85,27279.67,29270452,0,29270452
DYNAMATECH,EQ,-,-,929.60,44.25,5.00,885.35,1636,15.21,286.33,1405.00,436.45,27279.67,29270452,0,29270452
ZEEMEDIA,EQ,-,-,7.35,0.35,5.00,7.00,29659,2.18,181.25,11.90,2.85,27279.67,29270452,0,29270452
ASHAPURMIN,EQ,-,-,70.55,3.35,4.99,67.20,27871,19.66,350.73,67.65,18.55,27279.67,29270452,0,29270452
REPCOHOME,EQ,-,-,195.75,9.30,4.99,186.45,13843,27.10,734.87,366.20,90.35,27279.67,29270452,0,29270452
BALAXI,BE,-,-,441.85,21.00,4.99,420.85,28,0.12,33.67,420.85,63.90,27279.67,29270452,0,29270452
VIVIMEDLAB,EQ,-,-,21.05,1.00,4.99,20.05,15731,3.31,91.43,23.35,6.20,27279.67,29270452,0,29270452
FSC,EQ,-,-,158.90,7.55,4.99,151.35,8175,12.99,192.61,593.90,81.00,27279.67,29270452,0,29270452
INFOBEAN,EQ,-,-,134.65,6.40,4.99,128.25,1959,2.64,77.00,149.80,54.70,27279.67,29270452,0,29270452
FEL,EQ,-,-,21.10,1.00,4.98,20.10,8961009,1890.77,448.06,29.50,7.55,27279.67,29270452,0,29270452
INTELLECT,EQ,06-Aug-2020, ANNUAL GENERAL MEETING,211.80,10.05,4.98,201.75,20625,43.68,1709.07,229.00,43.80,27279.67,29270452,0,29270452
FLFL,EQ,-,-,152.80,7.25,4.98,145.55,101355,154.87,1497.78,475.00,91.35,27279.67,29270452,0,29270452
ISFT,EQ,-,-,101.35,4.80,4.97,96.55,277,0.28,73.96,108.00,20.60,27279.67,29270452,0,29270452
MBAPL,BE,-,-,72.80,3.45,4.97,69.35,95,0.07,37.98,90.50,55.80,27279.67,29270452,0,29270452
PANACHE,EQ,-,-,66.70,3.15,4.96,63.55,250,0.17,26.69,72.80,33.30,27279.67,29270452,0,29270452
ONELIFECAP,EQ,-,-,7.40,0.35,4.96,7.05,5,0.00,2.35,8.95,3.30,27279.67,29270452,0,29270452
OPTIEMUS,EQ,-,-,55.15,2.60,4.95,52.55,801,0.44,112.74,57.95,14.40,27279.67,29270452,0,29270452
BCG,EQ,-,-,9.55,0.45,4.95,9.10,8433,0.81,244.84,12.50,2.45,27279.67,29270452,0,29270452
MITTAL,EQ,-,-,34.00,1.60,4.94,32.40,1024,0.35,10.28,160.75,20.95,27279.67,29270452,0,29270452
MADHUCON,EQ,-,-,3.20,0.15,4.92,3.05,310,0.01,9.23,5.35,1.50,27279.67,29270452,0,29270452
CGPOWER,EQ,-,-,22.40,1.05,4.92,21.35,62995,14.11,816.24,21.35,4.75,27279.67,29270452,0,29270452
BINDALAGRO,EQ,-,-,13.90,0.65,4.91,13.25,1000,0.14,122.50,16.00,6.20,27279.67,29270452,0,29270452
KALYANIFRG,BE,-,-,163.30,7.65,4.91,155.65,19,0.03,23.22,188.40,82.90,27279.67,29270452,0,29270452
MACPOWER,EQ,-,-,78.20,3.65,4.90,74.55,300,0.23,22.37,74.55,53.10,27279.67,29270452,0,29270452
ALPA,EQ,-,-,31.05,1.45,4.90,29.60,5200,1.61,26.78,32.30,11.00,27279.67,29270452,0,29270452
FELDVR,EQ,-,-,22.50,1.05,4.90,21.45,1650,0.37,23.65,29.30,8.25,27279.67,29270452,0,29270452
SUBCAPCITY,BE,-,-,32.10,1.50,4.90,30.60,1,0.00,-,30.60,4.75,27279.67,29270452,0,29270452
GREENPANEL,EQ,-,-,51.35,2.40,4.90,48.95,603,0.31,282.12,61.10,24.00,27279.67,29270452,0,29270452
BEARDSELL,EQ,-,-,9.65,0.45,4.89,9.20,2100,0.20,8.27,13.45,5.80,27279.67,29270452,0,29270452
FMNL,EQ,-,-,27.95,1.30,4.88,26.65,3677,1.03,42.94,44.65,8.50,27279.67,29270452,0,29270452
AUTOIND,EQ,-,-,40.80,1.90,4.88,38.90,17237,7.03,55.72,47.00,9.10,27279.67,29270452,0,29270452
ABMINTLTD,BE,-,-,31.25,1.45,4.87,29.80,44,0.01,8.76,29.80,12.00,27279.67,29270452,0,29270452
KELLTONTEC,EQ,-,-,31.25,1.45,4.87,29.80,31787,9.93,109.14,29.80,6.55,27279.67,29270452,0,29270452
J&KBANK,EQ,-,-,20.55,0.95,4.85,19.60,37071,7.62,447.48,42.80,11.00,27279.67,29270452,0,29270452
VENUSREM,BE,-,-,101.00,4.65,4.83,96.35,392,0.40,76.11,114.60,19.60,27279.67,29270452,0,29270452
JHS,EQ,-,-,19.60,0.90,4.81,18.70,79622,15.61,75.16,21.90,6.50,27279.67,29270452,0,29270452
FCONSUMER,EQ,-,-,12.00,0.55,4.80,11.45,324166,38.90,1011.85,31.60,5.75,27279.67,29270452,0,29270452
HOVS,EQ,-,-,45.90,2.10,4.79,43.80,25,0.01,27.57,90.15,22.15,27279.67,29270452,0,29270452
